objectid,id,nombre_est,rue,respaldo_i,origen_alt,url_ficha,altura,cod_com,uuid,longitud,latitud,altura
1,36,Interior Central,0,Res. 806/96,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=36,-45,01101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.18843127799994,-20.80332559599998,-45
2,30,Salinas Punta de Lobos,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=30,47,01101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.17929462899997,-20.741511725999942,47
3,29,Vertedero de Cenizas,0,Res. 806/96,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=29,328,01101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.16628690699997,-20.769806135999943,328
4,28,Máximo Impacto Ambiental,0,Res. 806/96,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=28,116,01101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.17751990899995,-20.78888251899997,116
5,31,Correa N°8,0,Res. 19/99,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=31,4370,01405,5798c0ec-a22d-4923-a286-4c617b92994a,-68.79198505399995,-20.998484708999968,4370
6,44,Campamento Pica,0,Res. Sanitaria N°1909/2006,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=44,4257,01405,5798c0ec-a22d-4923-a286-4c617b92994a,-68.79455242099993,-20.487436772999956,4257
7,32,Chancador Primario,0,Res. 19/99,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=32,4295,01405,5798c0ec-a22d-4923-a286-4c617b92994a,-68.80847809099998,-20.989983473999928,4295
8,25,Blanco,0,Sin información,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=25,2279,01401,5798c0ec-a22d-4923-a286-4c617b92994a,-69.30847074599995,-20.10657672399998,2279
9,27,Parca,0,Resolución Nº22/97 y Resolución Nº1167/03 (EMRP),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=27,2849,01401,5798c0ec-a22d-4923-a286-4c617b92994a,-69.19881505999996,-20.008578946999933,2849
10,26,Mamiña,0,Resolución Nº22/97 y Resolución Nº1121/03 (EMRP),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=26,2844,01401,5798c0ec-a22d-4923-a286-4c617b92994a,-69.21624132399995,-20.069989331999977,2844
11,24,Campamento,0,Resolución Nº22/97 y Resolución Nº1166/03 (EMRP),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=24,2427,01401,5798c0ec-a22d-4923-a286-4c617b92994a,-69.27500658699995,-20.072600533999946,2427
12,5,Inacesa,0,Resolución nº 1995 de 27 de Junio de 2006 (EMRP MP10 y EMRPG SO2). Desde Diciembre de 2005 esta estación tiene la ubicación mencionada anteriormente.,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=5,455,02101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.31516489799998,-23.782194223999966,455
13,33,Playa Blanca,0,Sin Representatividad Poblacional,Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=33,99,02101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.40726206899996,-23.674214165999956,99
14,20,Coviefi,20210103,Resolución nº 4473 de 19 de Octubre de 2004 (EMRP-MP10 y EMRPG SO2),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=20,167,02101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.40397326999994,-23.686679439999978,167
15,34,Oncológico,0,"Resolución nº 3901 de 24 de Noviembre de 2005 (EMRP MP10)
Resolución nº 695 de 01 de Marzo de 2007 (EMPB Pb)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=34,35,02101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.39309493599995,-23.65584703099995,35
16,35,Rendic,0,"Resolución nº 3900 de 24 de Noviembre de 2005 (EMRP MP10)
Resolución nº 696 de 01 de Marzo de 2007 (EMPB Pb)",Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=35,65,02101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.38072839699998,-23.612491852999938,65
17,21,La Negra,20210101,Resolución nº 4473 de 19 de Octubre de 2004 (EMRP-MP10 y EMRPG SO2),Sin información,http://sinca.conama.cl/index.php/estaciones/index?id=21,482,02101,5798c0ec-a22d-4923-a286-4c617b92994a,-70.31538370599998,-23.79125940499995,482
